"Number","Date Submitted","Country","How did you first hear about SPS Commerce?","When did you realize you needed a product like SPS Commerce? What was going on in your world that caused you to come looking for an EDI provider?","What ONE problem would you say SPS Commerce eliminates or lessens for you?","Why did you choose SPS Commerce over other EDI software solutions?","What 3 adjectives would you use to describe SPS Commerce?","Are you happy with SPS Commerce?","How likely are you to recommend SPS Commerce to others?","What would you say about SPS Commerce to persuade a colleague to give it a try?"
"104","2017-10-23 18:06:13","United States","Other (click here to type) - The service provide I was working with merged operations with SPS Commerce","EDI was required to do business with number of accounts and that is why I decided to partner with Arrow EZweb - that recently merged with SPS Commerce","Not having to deal with having my own EDI capabilities","Did not have much of a choice as the company I was using merged with SPS Commerce","Easy, Intuitive, Great customer support","Yes","8","Has relationships with all major retailers in the industry"
"103","2017-10-23 04:32:29","United States","Other (click here to type) - Costco invite","Required by Costco for vendors","Invoicing","Costco's choice","friendly, easy and clear","Yes","8","Only use because Costco requires it"
"102","2017-10-22 14:29:40","United States","Other (click here to type) - from cabelas","cabelas","n/a","yes","n/a","Yes","10","the service is great and the support team is great because I use them on every order"
"101","2017-10-20 22:01:02","Canada","A colleague told me about it","Costco, etc.","None","it was already like that","None","Yes","7","None"
"100","2017-10-20 17:50:05","United States","Other (click here to type) - Grainger suggested","Grainger told us we needed to be EDI compliant.  Aside from that, we have no need for SPS.","Being EDI complaint with Grainger.","Grainger suggested.","Required","Yes","10","if you are required to be EDI compliant, try SPS."
"99","2017-10-20 17:15:11","United States","Other (click here to type) - Vendor recommended","New Vendor requirement","no comment","vendor requirement","n/a","No (click here to type reason) - features on the web portal isn't that efficient","3","n/a"
"98","2017-10-20 17:06:23","United States","A colleague told me about it","We had customers requiring us to be EDI capable in order to do business with them.","Direct EDI connection with multiple customers.","SPS came highly recommended to us from others in the industry who were also using SPS.","None","Other (click here to type) - We are getting better in our relationship with SPS and understand the process better going forward as we look to bring on more EDI accounts going forward.","8","None"
"97","2017-10-20 16:26:27","United States","Other (click here to type) - A FRIEND OF MINE TOLD ME ABOUT SPS","some of my customers start requiring EDI","None","friend recommendation","user friendly,","Yes","7","None"
"96","2017-10-20 00:16:33","Australia","Other (click here to type) - Directed to SPS by client","Forced to use SPS if I wanted to continue servicing this client","None just costs me more to service this client","I was told I had to use SPS and was not given any choices","Increase cost","Other (click here to type) - As mentioned above I HAVE to use this to supply one only product to now 3 clients. This has caused an increase in my costs were I have trouble recouping","1","They do provide support"
"95","2017-10-19 23:10:37","United States","A colleague told me about it","As Customer required.","How to process the par-code label","Easy access","None","Yes","7","None"
"94","2017-10-19 22:58:02","United States","Other (click here to type) - Referral from business partner","When a new customer required EDI set up","Streamlines invoicing and POs","The company sounds like they have solutions when we are small and our needs are limited and will grow with us as our company grows and our needs grow","None","Yes","8","None"
"93","2017-10-19 21:15:17","United States","A colleague told me about it","We needed a more organized automated form of bettering our business operations.","Receiving purchase order requests through several channels.","SPS Commerce had very good ratings.","Neat, Organized, Simple","Yes","8","None"
"92","2017-10-19 19:54:24","United States","A colleague told me about it","SPS was more so required for our company to use since we needed to provide our dealer more accurate information in regards to their receiving end.","I actually have to do more work now that I use SPS Commerce.","Our company was already using it.","Advanced, organized, somewhat user-friendly","Yes","8","If you need an easier way to know that you received all your items that you ordered, try SPS Commerce."
"91","2017-10-19 19:12:52","United States","None","We had inhouse software for EDI without an IT dept so we decided to outsource.","we have multiple trading partners so it would be impossible for us to maintain updates.","Not sure how we selected SPS.  Its been quite a few years.","Dependable, Responsive,","Yes","8","I would recommend if I had colleague's that have a need for EDI."
"90","2017-10-19 16:41:38","United States","I googled around looking for … (click here to type) - EDI compliance","required by client/distributor","","compatability","None","Other (click here to type) - would like more options to limit expense during off seasons/months","5","customer service is exceptional"
"89","2017-10-19 15:47:08","United States","Other (click here to type) - CABELAS was our first EDI company, and they used SPS Commerce.","Our trading partners began using it.","I personally don't know a lot about EDI.  SPS makes it easy for me to process transactions with trading partners.","Easy to use, most of our trading partners use SPS.","Easy, helpful, well-known","Yes","10","They have a proven track record, and have helped me (someone who didn't know anything about EDI) become familiar with trading documents via EDI.  At least now our customer's think I know what I'm doing :)"
"88","2017-10-19 15:20:18","Canada","A colleague told me about it","required from a new client","handles edi transactions","good references, used by some of our clients","reliable, user friendly, overly service customer...we get lost","Yes","9","reliable platform"
"87","2017-10-19 14:03:56","United States","Other (click here to type) - our A/R found it","vendor required it","","The one we were using sold and our rates went up","None","Yes","5","None"
"86","2017-10-19 14:00:56","United States","Other (click here to type) - Who ever we signed up first as a customer told us.","our very first customer had a EDI requirement we needed to meet","There is not a complete walk through with a one on one person and alot of people don't understand how EDI actually works.  There are alot of steps involved that you have to figure out for yourself at times, which makes the learning process difficult to understand.","Again you can recommended and we went with that, never shopping around or looking any further.","complex, unfriendly, challenging","Yes","10","If a two hundred dollar set up cost works for you and you are focused into setting up an EDI account then SPS Commerce does seem to work for us."
"85","2017-10-19 13:02:52","Canada","Other (click here to type) - INDIGO","EDI REQUIRED BY INDIGO","AT THIS POINT NONE.","RECOMMENDED BY INDIGO","HELPFUL","Other (click here to type) - THIS IS MY FIRST EXPERIENCE WITH AN EDI PROVIDER
I MUST ADMIT THAT I NEED TO BECOME MORE FAMILIAR WITH THE PROGRAM BEFORE JUDGING","None","None"
